Target ppm,Target RH (%),Target T (C),Vout0,Vout1,Vout2,Vout3,Vout4,Vout5,Vout6,Vout7,Vout8,Vout9,Vout10,Vout11,Vout12,Vout13,Vout14,Vout15,Vref0,Vref1,Vref2,Vref3,Vref4,Vref5,Vref6,Vref7,Vref8,Vref9,Vref10,Vref11,Vref12,Vref13,Vref14,Vref15,Reactor Temperature(C),SHTTemp(C),Humidity%,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas
0,15,35,0.643363,0.742012,0.8306,0.883169,0.768945,0.687171,0.806587,0.664456,0.638272,0.747376,0.770685,0.809212,0.726979,0.771009,0.859716,0.788815,2.778578,2.879498,2.882419,2.82628,2.852889,2.835041,2.935312,2.835041,2.818401,2.890597,2.880885,2.98319,2.755269,2.870848,2.955347,2.822933,41.55,34.7,15.47,A,11.86,28.31,0,0,0,CH4,B,11.86,27.98,0,0,0,O2,C,12.79,28.38,64.9,55.8,56,O2,D,12.13,28.05,0.2,0.1,0,N2,E,12.73,29.35,0.257,0.219,0.257,N2
0,15,35,0.654072,0.742985,0.824759,0.880573,0.767647,0.682304,0.802044,0.661535,0.633416,0.764534,0.771009,0.801765,0.749642,0.751908,0.877522,0.789787,2.793181,2.886637,2.900915,2.840558,2.857757,2.851916,2.939855,2.830174,2.823581,2.88477,2.881208,2.965384,2.771457,2.843977,2.93398,2.807069,41.52,34.72,15.4,A,11.87,28.31,0,0,0,CH4,B,11.87,27.98,0,0,0,O2,C,12.79,28.38,64.9,55.9,56,O2,D,12.14,28.03,0.2,0.1,0,N2,E,12.71,29.35,0.257,0.219,0.257,N2
0,15,35,0.642065,0.73974,0.826382,0.883818,0.761482,0.695284,0.803991,0.664131,0.632769,0.766477,0.791405,0.807593,0.764534,0.776837,0.870076,0.796585,2.797724,2.88826,2.885339,2.830498,2.850293,2.848671,2.969385,2.829525,2.831027,2.882827,2.896425,2.963117,2.783436,2.846243,2.923296,2.815487,41.55,34.71,15.45,A,11.87,28.3,0,0,0,CH4,B,11.87,27.98,0,0,0,O2,C,12.79,28.38,65.1,56,56,O2,D,12.13,28.03,0.2,0.1,0,N2,E,12.72,29.34,0.257,0.219,0.257,N2
0,15,35,0.657966,0.727085,0.823461,0.878302,0.773813,0.686522,0.811779,0.65829,0.646042,0.76939,0.768095,0.820219,0.756441,0.76939,0.87299,0.803708,2.793181,2.896697,2.88469,2.839584,2.849969,2.859379,2.9431,2.837313,2.82002,2.886712,2.894482,2.951462,2.767248,2.837826,2.937217,2.825847,41.55,34.72,15.43,A,11.88,28.3,0,0,0,CH4,B,11.86,27.99,0,0,0,O2,C,12.78,28.38,64.9,55.8,56,O2,D,12.14,28.04,0.2,0.2,0,N2,E,12.72,29.35,0.256,0.219,0.257,N2
0,15,35,0.657966,0.728383,0.833845,0.863375,0.777382,0.690092,0.804965,0.656343,0.637949,0.757412,0.775218,0.808564,0.736692,0.760973,0.869752,0.796262,2.816869,2.8782,2.878849,2.8292,2.853538,2.848995,2.941478,2.826929,2.822933,2.879266,2.901281,2.945959,2.768543,2.85369,2.944987,2.801242,41.64,34.71,15.42,A,11.88,28.29,0,0,0,CH4,B,11.86,27.98,0,0,0,O2,C,12.8,28.38,64.9,55.9,56,O2,D,12.14,28.03,0.2,0.1,0,N2,E,12.72,29.36,0.256,0.218,0.257,N2
0,15,35,0.656019,0.735846,0.827031,0.878951,0.775435,0.689767,0.807236,0.659588,0.646042,0.747376,0.764858,0.810183,0.751584,0.770362,0.857774,0.782017,2.799671,2.892478,2.889558,2.843479,2.857108,2.859704,2.946995,2.823684,2.813221,2.885093,2.894158,2.963765,2.784407,2.875057,2.939807,2.821638,41.58,34.72,15.46,A,11.88,28.3,0,0,0,CH4,B,11.86,27.99,0,0,0,O2,C,12.79,28.38,65,55.9,56,O2,D,12.13,28.02,0.2,0.1,0,N2,E,12.73,29.35,0.256,0.218,0.257,N2
0,15,35,0.657317,0.736171,0.832223,0.882845,0.778356,0.685224,0.795554,0.662509,0.618524,0.741872,0.760325,0.817305,0.758059,0.758059,0.864249,0.788815,2.797075,2.877876,2.892154,2.824333,2.85581,2.864247,2.947968,2.808108,2.821962,2.898043,2.890597,2.950815,2.775342,2.85369,2.939484,2.833293,41.55,34.71,15.47,A,11.87,28.3,0,0,0,CH4,B,11.87,27.98,0,0,0,O2,C,12.79,28.38,65,55.9,56,O2,D,12.14,28.03,0.2,0.1,0,N2,E,12.71,29.35,0.257,0.219,0.257,N2
0,15,35,0.643688,0.739091,0.82411,0.883169,0.767323,0.699502,0.803991,0.660237,0.65964,0.759678,0.773275,0.807917,0.742196,0.763887,0.877522,0.797557,2.790585,2.906756,2.901564,2.842829,2.850293,2.856459,2.952187,2.821412,2.825847,2.888978,2.888655,2.961175,2.782464,2.839445,2.941102,2.823905,41.58,34.71,15.39,A,11.88,28.3,0,0,0,CH4,B,11.86,27.99,0,0,0,O2,C,12.78,28.38,64.7,55.7,56,O2,D,12.14,28.06,0.2,0.1,0,N2,E,12.72,29.37,0.257,0.219,0.257,N2
0,15,35,0.656019,0.748502,0.830276,0.873434,0.767323,0.686847,0.799448,0.66478,0.633092,0.755793,0.762268,0.806622,0.747052,0.765182,0.905365,0.772628,2.786691,2.891505,2.873982,2.828876,2.863273,2.84932,2.930445,2.831796,2.815811,2.897396,2.872791,2.949844,2.784083,2.84074,2.947254,2.821962,41.62,34.74,15.44,A,11.87,28.3,0,0,0,CH4,B,11.86,28,0,0,0,O2,C,12.79,28.38,65.2,56.1,56,O2,D,12.15,28.05,0.2,0.1,0,N2,E,12.71,29.38,0.257,0.219,0.257,N2
0,15,35,0.654396,0.742012,0.820865,0.876679,0.77576,0.6849,0.812104,0.673217,0.666762,0.762268,0.771009,0.80047,0.736692,0.767772,0.871695,0.80047,2.784744,2.908054,2.895723,2.842505,2.851267,2.853538,2.936935,2.836015,2.830703,2.923296,2.887036,2.954376,2.773076,2.859841,2.941102,2.818725,41.53,34.72,15.37,A,11.88,28.3,0,0,0,CH4,B,11.86,27.98,0,0,0,O2,C,12.79,28.38,65.2,56.2,56,O2,D,12.14,28.05,0.2,0.2,0,N2,E,12.73,29.35,0.256,0.219,0.257,N2
