Target ppm,Target RH (%),Target T (C),Vout0,Vout1,Vout2,Vout3,Vout4,Vout5,Vout6,Vout7,Vout8,Vout9,Vout10,Vout11,Vout12,Vout13,Vout14,Vout15,Vref0,Vref1,Vref2,Vref3,Vref4,Vref5,Vref6,Vref7,Vref8,Vref9,Vref10,Vref11,Vref12,Vref13,Vref14,Vref15,Reactor Temperature(C),SHTTemp(C),Humidity%,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas
0,30,9,0.387982,0.429193,0.43471,0.470729,0.468133,0.396743,0.434385,0.399015,0.379597,0.459563,0.454383,0.43593,0.454707,0.443376,0.486111,0.412943,2.386581,2.511189,2.51054,2.432984,2.520924,2.533904,2.644559,2.487501,2.469722,2.565552,2.579797,2.625769,2.394612,2.468427,2.568465,2.43508,19.86,9.92,30.11,A,12.02,30.52,0,0,0,CH4,B,12.03,31.13,18.32,14.69,14.7,O2,C,12.88,31.12,40.6,34.9,35,O2,D,12.23,30.26,0.2,0.2,0,N2,E,12.86,30.74,0.252,0.216,0.252,N2
0,30,9,0.375002,0.459696,0.447365,0.485332,0.46067,0.381167,0.453206,0.403558,0.396109,0.478341,0.455031,0.452441,0.474132,0.414562,0.476722,0.427512,2.390799,2.503401,2.502752,2.427468,2.528388,2.518004,2.628334,2.490421,2.468427,2.560372,2.554868,2.623827,2.384252,2.460657,2.560695,2.434109,19.95,9.92,30.12,A,12.01,30.52,0,0,0,CH4,B,12.03,31.12,18.32,14.7,14.7,O2,C,12.89,31.12,40.6,34.9,35,O2,D,12.22,30.28,0.2,0.2,0,N2,E,12.87,30.75,0.251,0.215,0.252,N2
0,30,9,0.387982,0.454504,0.453855,0.474299,0.468133,0.379869,0.431789,0.40226,0.403231,0.471542,0.447261,0.454707,0.460858,0.472189,0.492262,0.424275,2.385932,2.500156,2.496911,2.431362,2.517679,2.497885,2.592963,2.498534,2.461628,2.56458,2.586919,2.605049,2.380367,2.46357,2.572674,2.421483,19.98,9.92,30.14,A,12.02,30.52,0,0,0,CH4,B,12.03,31.09,18.28,14.66,14.7,O2,C,12.88,31.11,40.7,35,35,O2,D,12.23,30.28,0.2,0.2,0,N2,E,12.87,30.76,0.251,0.215,0.252,N2
0,30,9,0.368836,0.443471,0.449312,0.505126,0.457425,0.376624,0.423352,0.403233,0.401289,0.477369,0.450822,0.444995,0.469599,0.438196,0.474132,0.430426,2.402157,2.49464,2.49756,2.438825,2.515732,2.502103,2.650076,2.478414,2.485909,2.574617,2.563285,2.623503,2.384575,2.486233,2.576235,2.416627,19.97,9.92,30.17,A,12.02,30.52,0,0,0,CH4,B,12.03,31.11,18.35,14.72,14.7,O2,C,12.88,31.13,40.8,35.1,35,O2,D,12.23,30.29,0.2,0.2,0,N2,E,12.87,30.74,0.252,0.217,0.252,N2
0,30,9,0.391876,0.452882,0.443471,0.482736,0.465862,0.388306,0.433736,0.401935,0.389957,0.462801,0.4437,0.447908,0.472189,0.452441,0.473161,0.4178,2.389177,2.50113,2.488474,2.437852,2.498858,2.510216,2.612758,2.483607,2.464218,2.57235,2.562638,2.62674,2.370654,2.458067,2.563609,2.427634,19.91,9.93,30.14,A,12.01,30.52,0,0,0,CH4,B,12.03,31.11,18.32,14.7,14.7,O2,C,12.89,31.13,40.7,34.9,35,O2,D,12.22,30.28,0.2,0.2,0,N2,E,12.88,30.76,0.253,0.217,0.252,N2
0,30,9,0.395121,0.451908,0.437955,0.473001,0.471054,0.394796,0.42822,0.399339,0.380892,0.471218,0.458268,0.431397,0.442405,0.437225,0.487082,0.418771,2.389177,2.496587,2.503726,2.450832,2.506322,2.5206,2.625414,2.500481,2.461628,2.569113,2.597927,2.644547,2.377453,2.483643,2.566199,2.428282,19.99,9.92,30.15,A,12.01,30.53,0,0,0,CH4,B,12.03,31.12,18.32,14.7,14.7,O2,C,12.89,31.13,40.8,35.1,35,O2,D,12.23,30.26,0.2,0.2,0,N2,E,12.88,30.75,0.252,0.217,0.252,N2
0,30,9,0.391876,0.458074,0.437306,0.494742,0.460345,0.384737,0.42822,0.411995,0.377655,0.463448,0.444671,0.456649,0.465067,0.455031,0.496147,0.427836,2.406051,2.492368,2.483282,2.445964,2.51411,2.505997,2.628983,2.488474,2.471664,2.542889,2.566199,2.627712,2.375187,2.475225,2.568789,2.431519,20.05,9.91,30.13,A,12.02,30.52,0,0,0,CH4,B,12.03,31.1,18.38,14.74,14.7,O2,C,12.89,31.13,40.7,35,35,O2,D,12.23,30.28,0.2,0.2,0,N2,E,12.88,30.75,0.251,0.216,0.252,N2
0,30,9,0.3922,0.447365,0.459372,0.474948,0.466511,0.400313,0.421405,0.398366,0.388986,0.466362,0.450498,0.456326,0.441433,0.422656,0.474132,0.419418,2.384634,2.493017,2.525143,2.449534,2.514434,2.521898,2.628334,2.498209,2.477492,2.571379,2.55163,2.619942,2.387813,2.464542,2.557134,2.41436,20.03,9.93,30.14,A,12.01,30.52,0,0,0,CH4,B,12.03,31.11,18.35,14.71,14.7,O2,C,12.87,31.12,40.6,34.8,35,O2,D,12.22,30.29,0.2,0.2,0,N2,E,12.89,30.76,0.251,0.216,0.252,N2
0,30,9,0.384088,0.466835,0.449312,0.486305,0.473974,0.394147,0.442173,0.39577,0.388339,0.477693,0.459563,0.434958,0.447585,0.439167,0.488377,0.423303,2.402157,2.494964,2.511189,2.446938,2.523845,2.500805,2.620871,2.500805,2.487204,2.547745,2.555515,2.636777,2.374215,2.486233,2.544508,2.428929,20.01,9.92,30.12,A,12.03,30.52,0,0,0,CH4,B,12.03,31.13,18.41,14.77,14.7,O2,C,12.87,31.12,40.6,34.8,35,O2,D,12.23,30.26,0.2,0.2,0,N2,E,12.89,30.75,0.251,0.216,0.252,N2
0,30,9,0.390578,0.444445,0.435034,0.481438,0.464239,0.394472,0.426597,0.388306,0.399994,0.477369,0.459563,0.446937,0.459563,0.452117,0.478988,0.424275,2.392097,2.504375,2.480686,2.449209,2.485229,2.500481,2.610811,2.483282,2.479758,2.560695,2.568142,2.615085,2.377777,2.458067,2.568789,2.421483,20.02,9.92,30.15,A,12.02,30.52,0,0,0,CH4,B,12.03,31.14,18.31,14.69,14.7,O2,C,12.88,31.12,40.6,34.9,35,O2,D,12.23,30.23,0.2,0.2,0,N2,E,12.88,30.75,0.252,0.216,0.252,N2
